SEASON_ID,PLAYER_ID,TEAM_ID,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,
19,379,13,6,26.3,18.3,7.7,10.5,73,0,0.2,0,3,4.3,69.2,2,3.5,5.5,2.2,1.3,0.5,0.7,3.2,30.4,1,0,
19,381,12,4,31.5,9.8,3.5,8.8,40,0.8,3.5,21.4,2,3.3,61.5,1,5.3,6.3,1.5,0.8,0,1.8,3.5,24,0,0,
19,384,11,7,7.5,3.9,1.4,1.4,100,0,0,0,1,1.3,77.8,1.3,0.7,2,0.4,0.4,0.4,0.3,1,8.6,0,0,
19,385,21,5,12.1,4.8,2.4,4,60,0,0,0,0,0.4,0,2.2,1.6,3.8,0,0.8,0.4,0.6,1.8,11.6,0,0,
19,389,8,14,39.7,25.1,9.4,18.6,50.6,1.6,4,39.3,4.7,5.6,84.6,3.9,9.1,13,8.4,2.6,1.1,0.9,3.9,57,12,4,
19,390,17,14,21.3,9.5,3.1,8.4,37.6,1.6,5.4,28.9,1.6,2,82.1,1.2,3.1,4.3,0.7,1,0.7,0.2,1.8,17.5,1,0,
19,391,22,5,29.5,11.2,4.2,11.6,36.2,0.6,2.6,23.1,2.2,2.8,78.6,1.8,6.2,8,3,2.6,0.4,1,2.4,26.9,1,0,
19,393,28,23,15.9,6.5,2.4,5.5,44.4,1,2.7,38.7,0.6,0.8,73.7,0.2,2,2.2,1.1,0.5,0.4,0,1.3,11.5,0,0,
19,399,28,24,37.1,19,7.5,16,47,1.2,4.3,27.9,2.8,3.6,75.9,1.7,5.5,7.1,2.8,1.4,1,0.7,2.8,35.4,6,0,
19,400,17,15,21.6,6.2,2.5,5.1,48.1,1,2.8,35.7,0.3,0.5,50,0.7,5.5,6.2,1.4,0.6,0.4,0.9,0.9,18.9,0,0,
19,401,13,6,32.4,9.8,3.3,7.8,42.6,2.2,5,43.3,1,1.3,75,1.3,6.7,8,4.7,1.7,1,1,3.5,30.8,3,0,
19,402,28,11,4.4,0.5,0.1,0.5,20,0.1,0.3,33.3,0.2,0.2,100,0.2,0.1,0.3,0.4,0.1,0.2,0,0.4,1.8,0,0,
19,404,27,7,21.8,5.3,2,6.1,32.6,0.4,3.1,13.6,0.9,1.4,60,0.1,2,2.1,3.6,0.4,1,0.1,1.3,16.2,0,0,
19,406,21,5,40.8,28.6,8.8,20.2,43.6,3,9.4,31.9,8,9.8,81.6,1.2,7.4,8.6,3.6,4.2,1.4,0.2,4.2,44.9,2,0,
19,407,8,14,33.5,14.6,5.2,11.1,46.8,0.9,2.7,31.6,3.4,4.4,77,1.7,5,6.7,0.8,1.3,0.9,1.1,3.4,28.4,3,0,
19,409,11,11,38.7,11.4,3.6,8,45.5,2.4,5.2,45.6,1.7,2.1,82.6,1.7,5.7,7.5,1.7,0.7,1.7,0.7,3.2,29.5,4,0,
19,411,27,5,2.4,0,0,0.4,0,0,0.2,0,0,0,0,0,0.2,0.2,0.4,0,0.2,0,0.4,1.4,0,0,
