PLAYER_ID,PLAYER_NAME,TEAM,AGE,HEIGHT,WEIGHT,DRAFT YEAR,,EXPERIENCE,TEAM_ID ,,,,,,,,,,,,,
185,Grayson Allen,UTA,23,6'5'',198,2018,2019,1,29,,,,,,,,,,,,,
186,Greg Monroe,PHI,29,6'11'',265,2010,2019,9,23,,,,,,,,,,,,,
187,Guerschon Yabusele,BOS,23,6'8'',260,2016,2019,3,2,,,,,,,,,,,,,
188,Hamidou Diallo,OKC,20,6'5'',198,2018,2019,1,21,,,,,,,,,,,,,
189,Harrison Barnes,SAC,27,6'8'',225,2012,2019,7,26,,,,,,,,,,,,,
190,Harry Giles III,SAC,21,6'10'',240,2017,2019,2,26,,,,,,,,,,,,,
191,Hassan Whiteside,MIA,30,7'1'',265,2010,2019,9,16,,,,,,,,,,,,,
192,Haywood Highsmith,PHI,22,6'7'',220,Undrafted,2019,0,23,,,,,,,,,,,,,
193,Henry Ellenson,NYK,22,6'11'',245,2016,2019,3,20,,,,,,,,,,,,,
194,Ian Clark,NOP,28,6'3'',175,Undrafted,2019,0,19,,,,,,,,,,,,,
195,Ian Mahinmi,WAS,32,6'11'',262,2005,2019,14,30,,,,,,,,,,,,,
196,Ike Anigbogu,IND,20,6'10'',250,2017,2019,2,12,,,,,,,,,,,,,
197,Iman Shumpert,HOU,29,6'5'',215,2011,2019,8,11,,,,,,,,,,,,,
198,Isaac Bonga,LAL,19,6'8'',180,2018,2019,1,14,,,,,,,,,,,,,
199,Isaac Humphries,ATL,21,7'1'',260,Undrafted,2019,0,1,,,,,,,,,,,,,
200,Isaiah Briscoe,ORL,23,6'3'',215,Undrafted,2019,0,22,,,,,,,,,,,,,
201,Isaiah Canaan,MIL,28,6'1'',200,2013,2019,6,17,,,,,,,,,,,,,
202,Isaiah Hartenstein,HOU,21,7'1'',249,2017,2019,2,11,,,,,,,,,,,,,
203,Isaiah Hicks,NYK,24,6'9'',230,Undrafted,2019,0,20,,,,,,,,,,,,,
204,Isaiah Thomas,DEN,30,5'9'',185,2011,2019,8,8,,,,,,,,,,,,,
205,Ish Smith,DET,30,6'1'',175,Undrafted,2019,0,9,,,,,,,,,,,,,
206,Ivan Rabb,MEM,22,6'10'',220,2017,2019,2,15,,,,,,,,,,,,,
207,Ivica Zubac,LAC,22,7'1'',240,2016,2019,3,13,,,,,,,,,,,,,
208,J.J. Barea,DAL,35,6'1'',185,Undrafted,2019,0,7,,,,,,,,,,,,,
209,J.P. Macura,CHA,24,6'5'',205,Undrafted,2019,0,4,,,,,,,,,,,,,
210,Jabari Parker,WAS,24,6'8'',245,2014,2019,5,30,,,,,,,,,,,,,
211,Jacob Evans,GSW,22,6'6'',210,2018,2019,1,10,,,,,,,,,,,,,
212,Jae Crowder,UTA,28,6'6'',235,2012,2019,7,29,,,,,,,,,,,,,
213,Jahlil Okafor,NOP,23,6'11'',275,2015,2019,4,19,,,,,,,,,,,,,
214,JaKarr Sampson,CHI,26,6'9'',215,Undrafted,2019,0,5,,,,,,,,,,,,,
215,Jake Layman,POR,25,6'9'',215,2016,2019,3,25,,,,,,,,,,,,,
216,Jakob Poeltl,SAS,23,7'1'',230,2016,2019,3,27,,,,,,,,,,,,,
217,Jalen Brunson,DAL,22,6'3'',190,2018,2019,1,7,,,,,,,,,,,,,
218,Jalen Jones,CLE,26,6'7'',220,Undrafted,2019,0,6,,,,,,,,,,,,,
219,Jamal Crawford,PHX,39,6'5'',185,2000,2019,19,24,,,,,,,,,,,,,
220,Jamal Murray,DEN,22,6'4'',207,2016,2019,3,8,,,,,,,,,,,,,
221,James Ennis III,PHI,28,6'7'',210,2013,2019,6,23,,,,,,,,,,,,,
222,James Harden,HOU,29,6'5'',220,2009,2019,10,11,,,,,,,,,,,,,
223,James Johnson,MIA,32,6'8'',240,2009,2019,10,16,,,,,,,,,,,,,
224,James Nunnally,HOU,28,6'7'',208,Undrafted,2019,0,11,,,,,,,,,,,,,
225,JaMychal Green,LAC,29,6'9'',227,Undrafted,2019,0,13,,,,,,,,,,,,,
226,Jared Dudley,BKN,33,6'7'',237,2007,2019,12,3,,,,,,,,,,,,,
227,Jared Terrell,MIN,24,6'3'',227,Undrafted,2019,0,18,,,,,,,,,,,,,
228,Jarell Martin,ORL,25,6'10'',239,2015,2019,4,22,,,,,,,,,,,,,
229,Jaren Jackson Jr.,MEM,19,6'11'',242,2018,2019,1,15,,,,,,,,,,,,,
230,Jaron Blossomgame,CLE,25,6'8'',220,2017,2019,2,6,,,,,,,,,,,,,
231,Jarred Vanderbilt,DEN,20,6'9'',214,2018,2019,1,8,,,,,,,,,,,,,
232,Jarrett Allen,BKN,21,6'11'',237,2017,2019,2,3,,,,,,,,,,,,,
233,Jason Smith,NOP,33,7'1'',240,2007,2019,12,19,,,,,,,,,,,,,
234,JaVale McGee,LAL,31,7'1'',270,2008,2019,11,14,,,,,,,,,,,,,
235,Jawun Evans,OKC,22,6'1'',190,2017,2019,2,21,,,,,,,,,,,,,
236,Jaylen Adams,ATL,23,6'2'',190,Undrafted,2019,0,1,,,,,,,,,,,,,
237,Jaylen Brown,BOS,22,6'7'',220,2016,2019,3,2,,,,,,,,,,,,,
238,Jaylen Morris,MIL,23,6'5'',185,Undrafted,2019,0,17,,,,,,,,,,,,,
239,Jayson Tatum,BOS,21,6'8'',208,2017,2019,2,2,,,,,,,,,,,,,
240,Jeff Green,WAS,32,6'9'',235,2007,2019,12,30,,,,,,,,,,,,,
241,Jeff Teague,MIN,31,6'2'',195,2009,2019,10,18,,,,,,,,,,,,,
242,Jemerrio Jones,LAL,24,6'5'',174,Undrafted,2019,0,14,,,,,,,,,,,,,
